iter	Passed	Remaining
606	19097	43825
607	19128	43794
608	19160	43763
609	19193	43735
610	19225	43705
611	19257	43676
612	19290	43646
613	19322	43617
614	19353	43585
615	19386	43556
616	19420	43530
617	19452	43501
618	19484	43470
619	19517	43441
620	19548	43410
621	19581	43380
622	19613	43350
623	19646	43321
624	19678	43292
625	19712	43266
626	19744	43237
627	19777	43207
628	19809	43178
629	19842	43149
630	19875	43121
631	19907	43091
632	19941	43064
633	19971	43029
634	19999	42992
635	20031	42959
636	20059	42921
637	20088	42885
638	20118	42850
639	20149	42818
640	20179	42782
641	20209	42749
642	20239	42713
643	20269	42679
644	20299	42644
645	20329	42610
646	20360	42578
647	20389	42541
648	20420	42509
649	20450	42474
650	20481	42441
651	20510	42405
652	20541	42372
653	20570	42335
654	20601	42302
655	20630	42267
656	20662	42236
657	20691	42201
658	20721	42166
659	20749	42127
660	20780	42095
661	20810	42060
662	20839	42024
663	20868	41988
664	20897	41951
665	20928	41919
666	20957	41883
667	20987	41849
668	21018	41816
669	21047	41781
670	21076	41745
671	21106	41709
672	21134	41671
673	21163	41637
674	21193	41602
675	21222	41566
676	21253	41533
677	21283	41499
678	21313	41465
679	21343	41430
680	21374	41399
681	21402	41361
682	21433	41328
683	21461	41291
684	21492	41258
685	21519	41219
686	21549	41186
687	21578	41149
688	21607	41113
689	21638	41082
690	21666	41044
691	21697	41011
692	21725	40973
693	21755	40939
694	21791	40917
695	21823	40888
696	21856	40858
697	21890	40832
698	21921	40800
699	21953	40771
700	21986	40742
701	22021	40717
702	22054	40689
703	22087	40660
704	22118	40629
705	22150	40599
706	22182	40567
707	22214	40539
708	22247	40510
709	22279	40480
710	22312	40451
711	22345	40421
712	22377	40392
713	22409	40361
714	22442	40334
715	22475	40304
716	22508	40276
717	22540	40247
718	22573	40217
719	22606	40189
720	22637	40156
721	22666	40120
722	22696	40087
723	22726	40053
724	22755	40017
725	22782	39979
726	22814	39949
727	22847	39920
728	22879	39890
729	22912	39861
730	22944	39831
731	22976	39800
732	23005	39765
733	23036	39734
734	23067	39701
735	23097	39667
736	23126	39632
737	23155	39597
738	23186	39563
739	23216	39530
740	23249	39501
741	23280	39470
742	23310	39435
743	23341	39404
744	23370	39369
745	23402	39338
746	23431	39303
747	23461	39269
748	23491	39235
749	23521	39201
750	23551	39168
751	23580	39133
752	23610	39100
753	23638	39063
754	23669	39030
755	23699	38997
756	23730	38965
757	23762	38934
758	23793	38904
759	23826	38875
760	23859	38846
761	23892	38817
762	23924	38787
763	23957	38758
764	23990	38730
765	24023	38700
766	24055	38671
767	24088	38642
768	24121	38614
769	24154	38584
770	24187	38555
771	24217	38521
772	24248	38490
773	24277	38455
774	24306	38420
775	24334	38383
776	24366	38352
777	24396	38318
778	24429	38290
779	24461	38259
780	24494	38231
781	24526	38201
782	24558	38170
783	24591	38141
784	24624	38113
785	24657	38084
786	24690	38055
787	24722	38024
788	24755	37995
789	24787	37965
790	24818	37934
791	24851	37905
792	24884	37876
793	24917	37847
794	24951	37819
795	24986	37794
796	25016	37760
797	25048	37730
798	25082	37701
799	25111	37667
800	25142	37635
801	25172	37602
802	25205	37572
803	25233	37535
804	25262	37501
805	25293	37469
806	25322	37435
807	25351	37400
808	25380	37364
809	25408	37328
810	25440	37298
811	25472	37267
812	25504	37237
813	25537	37207
814	25569	37178
815	25602	37148
816	25634	37118
817	25667	37089
818	25700	37059
819	25731	37028
820	25763	36997
821	25796	36968
822	25828	36938
823	25860	36907
824	25892	36877
825	25924	36847
826	25956	36816
827	25989	36786
828	26022	36758
829	26055	36728
830	26088	36700
831	26121	36670
832	26154	36641
833	26186	36610
834	26217	36579
835	26250	36549
836	26280	36516
837	26309	36481
838	26339	36447
839	26368	36413
840	26397	36378
841	26427	36346
842	26457	36311
843	26486	36278
844	26516	36244
845	26546	36211
846	26575	36176
847	26607	36145
848	26634	36109
849	26664	36075
850	26694	36042
851	26724	36009
852	26754	35975
853	26785	35944
854	26814	35909
855	26842	35874
856	26875	35845
857	26903	35808
858	26934	35776
859	26964	35743
860	26994	35710
861	27025	35678
862	27054	35643
863	27088	35615
864	27120	35586
865	27152	35555
866	27185	35526
867	27216	35494
868	27248	35464
869	27280	35433
870	27313	35404
871	27345	35373
872	27378	35343
873	27410	35313
874	27443	35284
875	27477	35256
876	27510	35226
877	27544	35198
878	27578	35170
879	27611	35141
880	27642	35109
881	27674	35079
882	27707	35049
883	27739	35019
884	27771	34989
885	27804	34959
886	27836	34929
887	27868	34898
888	27900	34867
889	27933	34838
890	27966	34808
891	27998	34778
892	28031	34748
893	28064	34719
894	28097	34690
895	28130	34660
896	28162	34630
897	28195	34601
898	28225	34567
899	28254	34533
900	28285	34501
901	28315	34468
902	28345	34435
903	28376	34403
904	28405	34369
905	28435	34336
906	28467	34305
907	28497	34272
908	28527	34239
909	28556	34204
910	28589	34175
911	28616	34139
912	28647	34107
913	28677	34074
914	28707	34041
915	28736	34007
916	28765	33973
917	28795	33939
918	28825	33906
919	28855	33873
920	28885	33841
921	28915	33807
922	28950	33780
923	28979	33747
924	29011	33715
925	29041	33682
926	29069	33647
927	29100	33616
928	29131	33584
929	29162	33552
930	29190	33517
931	29222	33487
932	29254	33455
933	29288	33427
934	29321	33398
935	29353	33367
936	29385	33337
937	29419	33308
938	29451	33277
939	29484	33248
940	29516	33217
941	29547	33186
942	29580	33156
943	29613	33126
944	29645	33095
945	29677	33065
946	29710	33036
947	29742	33005
948	29776	32977
949	29808	32946
950	29840	32915
951	29873	32885
952	29905	32854
953	29938	32825
954	29965	32789
955	29996	32757
956	30026	32724
957	30055	32690
958	30086	32658
959	30117	32627
960	30148	32595
961	30176	32560
962	30205	32526
963	30235	32494
964	30265	32460
965	30295	32428
966	30325	32395
967	30357	32364
968	30387	32331
969	30416	32297
970	30445	32263
971	30474	32230
972	30505	32198
973	30533	32163
974	30564	32131
975	30594	32099
976	30626	32068
977	30654	32034
978	30685	32002
979	30716	31969
980	30743	31934
981	30773	31902
982	30804	31869
983	30833	31836
984	30862	31802
985	30893	31770
986	30922	31737
987	30952	31704
988	30983	31672
989	31011	31638
990	31041	31605
991	31071	31572
992	31100	31539
993	31129	31505
994	31158	31471
995	31190	31441
996	31219	31407
997	31247	31373
998	31277	31340
999	31306	31306
1000	31335	31273
1001	31365	31240
1002	31397	31209
1003	31426	31176
1004	31457	31144
1005	31486	31110
1006	31516	31078
1007	31546	31045
1008	31575	31012
1009	31607	30981
1010	31637	30949
1011	31665	30914
1012	31694	30881
1013	31725	30849
1014	31756	30817
1015	31787	30785
1016	31817	30753
1017	31846	30720
1018	31877	30688
1019	31907	30656
1020	31938	30624
1021	31971	30594
1022	31999	30560
1023	32028	30527
1024	32058	30494
1025	32089	30462
1026	32117	30428
1027	32148	30397
1028	32180	30366
1029	32208	30331
1030	32237	30298
1031	32267	30266
1032	32295	30231
1033	32324	30199
1034	32358	30170
1035	32390	30139
1036	32423	30109
1037	32455	30078
1038	32488	30049
1039	32520	30018
1040	32552	29988
1041	32585	29958
1042	32617	29927
1043	32649	29897
1044	32681	29866
1045	32714	29836
1046	32747	29807
1047	32780	29777
1048	32812	29747
1049	32845	29717
1050	32877	29686
1051	32909	29655
1052	32941	29625
1053	32973	29594
1054	33006	29564
1055	33038	29534
1056	33071	29504
1057	33103	29473
1058	33135	29443
1059	33170	29414
1060	33201	29384
1061	33234	29353
1062	33266	29322
1063	33299	29293
1064	33331	29262
1065	33363	29231
1066	33395	29201
1067	33428	29171
1068	33460	29140
1069	33491	29109
1070	33522	29077
1071	33554	29046
1072	33586	29016
1073	33618	28985
1074	33654	28958
1075	33686	28927
1076	33718	28896
1077	33750	28866
1078	33783	28836
1079	33815	28805
1080	33847	28774
1081	33878	28743
1082	33909	28712
1083	33943	28682
1084	33975	28652
1085	34008	28622
1086	34040	28591
1087	34072	28560
1088	34102	28528
1089	34133	28496
1090	34162	28463
1091	34192	28430
1092	34219	28396
1093	34249	28363
1094	34278	28330
1095	34308	28298
1096	34338	28266
1097	34367	28232
1098	34396	28199
1099	34424	28165
1100	34455	28134
1101	34485	28101
1102	34515	28069
1103	34546	28037
1104	34577	28006
1105	34606	27973
1106	34635	27940
1107	34666	27908
1108	34695	27874
1109	34722	27840
1110	34753	27808
1111	34783	27777
1112	34812	27743
1113	34842	27711
1114	34871	27678
1115	34902	27646
1116	34929	27611
1117	34959	27579
1118	34989	27547
1119	35021	27517
1120	35054	27486
1121	35086	27456
1122	35118	27425
1123	35152	27396
1124	35185	27366
1125	35217	27335
1126	35249	27305
1127	35282	27275
1128	35315	27245
1129	35353	27219
1130	35385	27188
1131	35418	27158
1132	35450	27127
1133	35482	27096
1134	35513	27065
1135	35546	27035
1136	35578	27004
1137	35610	26973
1138	35641	26942
1139	35676	26913
1140	35707	26882
1141	35739	26851
1142	35772	26821
1143	35805	26791
1144	35838	26761
1145	35870	26730
1146	35902	26700
1147	35934	26669
1148	35967	26639
1149	36001	26609
1150	36035	26580
1151	36065	26548
1152	36096	26516
1153	36125	26483
1154	36154	26451
1155	36185	26419
1156	36214	26386
1157	36244	26353
1158	36273	26320
1159	36302	26287
1160	36330	26254
1161	36361	26222
1162	36390	26190
1163	36419	26157
1164	36448	26123
1165	36477	26091
1166	36511	26061
1167	36540	26028
1168	36571	25997
1169	36600	25964
1170	36632	25933
1171	36661	25900
1172	36691	25868
1173	36722	25837
1174	36751	25804
1175	36779	25770
1176	36809	25738
1177	36841	25707
1178	36873	25677
1179	36907	25647
1180	36940	25617
1181	36972	25586
1182	37005	25556
1183	37037	25525
1184	37069	25495
1185	37102	25464
1186	37135	25434
1187	37167	25404
1188	37201	25374
1189	37233	25343
1190	37266	25313
1191	37297	25282
1192	37329	25251
1193	37362	25221
1194	37395	25191
1195	37429	25161
1196	37458	25129
1197	37490	25098
1198	37522	25067
1199	37555	25036
1200	37586	25005
1201	37614	24972
1202	37648	24942
1203	37679	24911
1204	37712	24880
1205	37744	24850
1206	37774	24818
1207	37804	24785
1208	37834	24753
1209	37865	24722
1210	37893	24688
1211	37923	24656
1212	37953	24624
1213	37981	24590
1214	38012	24559
1215	38041	24526
1216	38068	24492
1217	38098	24460
1218	38127	24428
1219	38157	24395
1220	38188	24364
1221	38217	24331
1222	38247	24299
1223	38277	24267
1224	38305	24234
1225	38336	24202
1226	38365	24170
1227	38396	24138
1228	38425	24105
1229	38455	24073
1230	38483	24040
1231	38513	24008
1232	38543	23976
1233	38573	23944
1234	38601	23911
1235	38632	23879
1236	38660	23846
1237	38690	23814
1238	38721	23783
1239	38752	23751
1240	38781	23719
1241	38812	23687
1242	38842	23655
1243	38873	23624
1244	38901	23590
1245	38932	23559
1246	38961	23526
1247	38991	23494
1248	39021	23462
1249	39050	23430
1250	39079	23397
1251	39110	23366
1252	39139	23333
1253	39169	23302
1254	39198	23268
1255	39229	23237
1256	39257	23204
1257	39287	23172
1258	39317	23140
1259	39347	23108
1260	39379	23078
1261	39411	23047
1262	39444	23017
1263	39476	22986
1264	39508	22955
1265	39540	22924
1266	39572	22894
1267	39605	22863
1268	39637	22832
1269	39669	22802
1270	39701	22771
1271	39734	22741
1272	39767	22710
1273	39800	22680
1274	39832	22649
1275	39865	22619
1276	39897	22588
1277	39928	22557
1278	39960	22526
1279	39992	22495
1280	40024	22464
1281	40057	22434
1282	40089	22403
1283	40121	22372
1284	40154	22342
1285	40186	22311
1286	40221	22282
1287	40253	22252
1288	40286	22221
1289	40319	22191
1290	40352	22160
1291	40381	22128
1292	40411	22096
1293	40442	22065
1294	40470	22032
1295	40501	22000
1296	40529	21967
1297	40559	21935
1298	40587	21903
1299	40619	21872
1300	40653	21842
1301	40686	21811
1302	40718	21781
1303	40751	21750
1304	40784	21720
1305	40816	21689
1306	40848	21658
1307	40880	21627
1308	40909	21595
1309	40938	21562
1310	40968	21531
1311	40997	21498
1312	41029	21468
1313	41060	21436
1314	41092	21405
1315	41125	21375
1316	41157	21344
1317	41189	21313
1318	41222	21283
1319	41254	21252
1320	41287	21221
1321	41319	21191
1322	41352	21160
1323	41383	21129
1324	41416	21098
1325	41447	21067
1326	41480	21037
1327	41512	21006
1328	41544	20975
1329	41574	20943
1330	41605	20912
1331	41635	20880
1332	41666	20848
1333	41698	20817
1334	41730	20787
1335	41763	20756
1336	41795	20725
1337	41827	20695
1338	41859	20664
1339	41891	20633
1340	41922	20601
1341	41953	20570
1342	41986	20539
1343	42016	20508
1344	42049	20477
1345	42080	20446
1346	42112	20415
1347	42144	20384
1348	42176	20353
1349	42208	20322
1350	42240	20291
1351	42272	20260
1352	42304	20229
1353	42335	20198
1354	42366	20166
1355	42394	20134
1356	42426	20103
1357	42454	20070
1358	42483	20038
1359	42512	20005
1360	42542	19974
1361	42573	19942
1362	42601	19910
1363	42631	19878
1364	42661	19846
1365	42690	19814
1366	42719	19781
1367	42750	19750
1368	42780	19718
1369	42809	19686
1370	42843	19656
1371	42873	19624
1372	42902	19592
1373	42936	19562
1374	42965	19529
1375	42994	19497
1376	43024	19465
1377	43055	19434
1378	43085	19402
1379	43116	19371
1380	43147	19339
1381	43178	19308
1382	43207	19276
1383	43236	19244
1384	43267	19212
1385	43296	19180
1386	43326	19148
1387	43356	19116
1388	43385	19084
1389	43414	19052
1390	43445	19020
1391	43475	18989
